"year","workauthorization","country","gender","degree","college","department","major","graddate","status","employer.school","jobtitle.gradprogram","city","state.country","graddegree","useful","dateoffered","dateaccepted","jobfunction","employerindustry","numoffers"
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S11","E","Amazon","Software Development Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"United States",NA,"BS","MCS","Physics","","S12","E","Amazon","Software Development Engineer","Seattle","WA","","Job Fair","40951","40980","Software Development","technology",2
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"China",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"Korea",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Development Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Devlopment Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"India",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","F12","E","Amazon","Software Developer Engineer","Seattle","WA","","Job Fair","40843","40866","Software Development","technology",3
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,"Korea",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Development Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,NA,NA,"BS","SCS","Computer Science","","S14","E","Amazon","Software Development Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"India",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Amazon","Software Developer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Civil & Environmental Engineering","","S12","V","AmeriCorps","","Sacramento","CA","","","","","Social Services","education",NA
2012,NA,"United States",NA,"BS","CIT","Civil & Environmental Engineering","","S12","V","AmeriCorps","",NA,NA,"","","","","Social Services","education",NA
2012,NA,"United States",NA,"BS","Dietrich","Social & Decision Sciences","Decision Science                                                                                    ","S12","E","American Eagle Outfitters","Planning and Allocation Teammate","Pittsburgh","PA","","","","","Buyer/Merchandising ","consumer products/retail",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology                                                                                          ","S12","G","American University","Premedical Program","Washington","DC","Post Baccalaurate","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Biological Sciences","","S12","V","AmeriCorps","",NA,NA,"","","","","Social Services","education",NA
2012,NA,"United States",NA,"BS","MCS","Chemistry","","S12","V","AmeriCorps","","Pittsburgh","PA","","","","","Social Services","education",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Art","Installation, Printmaking, Community Art","S12","E","Andy Warhol Museum, Education Department","Intern","Pittsburgh","PA","","Networking","40951","40980","Teaching","visual/studio/performing arts",2
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","Economics","","S12","E","Apollo Global Management","Fund Analyst","New York","NY","","","41091","41091","Financial Analysis","financial services",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","S12","E","Apple","Product Design Engineer","Cupertino","CA","","summer internship","40940","40943","Design/Construction ","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S12","E","Apple","Mac OS X Performance Engineer","Cupertino","CA","","","","","Software Development","technology",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","F11","E","Apple","Mac OS X Performance Engineer","Cupertino","CA","","","","","Software Development","technology",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Apple","Software QA Engineer","Cupertino","CA","","","41061","41061","Software Development","technology",NA
2012,NA,"United States",NA,"BS","CFA","Design","industrial design","S12","E","Apple","UI Designer","Cupertino","CA","","","","","Design","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Apple ","User Experience Architect","Cupertino","CA","","TartanTRAK","41122","41214","Business Development/Sales ","technology",1
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Applied Predictive Technologies","Software Engineer","Arlington","VA","","TartanTRAK","40784","40848","Software Development","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Biological Sciences","","S12","G","","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Biological Sciences","","S12","G","","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,"BS","MCS","Biological Sciences","","F11","G","","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Materials Science","","S12","E","Aquion Energy","Materials Engineer","Pittsburgh","PA","","","","41000","Materials","energy/utilities",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Materials Science","","S12","E","ArcelorMittal ","","Indiana Harbor","IN","","","","","","energy/utilities",NA
2012,NA,"United States",NA,"BS","CFA","Music","Performance (Voice)                                                                           ","S12","G","Arizona State University","Vocal Performance","Tempe","AZ","Masters","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Architecture","Industrial design","S12","G","Art Center College of Design","Environmental Design  ","Pasadena","CA","","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Materials Science","","S12","E","ASKO, Inc.","","Homestead","PA","","","","","","manufacturing",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Aspen Technology","Associate Engineer","Burlignton","MA","","","","","Engineering","technology",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Aspen Technology","","Nashua","NH","","interoffice mailing","","","","technology",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Aspen Technology","Product Manager","Boston","MA","","TartanTRAK","","","Product Management","technology",NA
2012,NA,"United States",NA,"BS","BHA","BHA","Anthropology & History","S12","E","Assemble","Intern/Freelance Illustrator","Pittsburgh","PA","","","","","Freelance","arts, media, film & entertainment",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","ATI Allegheny Ludlum","Rotating ChemE","Natrona Heights","PA","","Networking","","","Chemical","manufacturing",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology                                                                                          ","S12","NS","","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology","S12","NS","","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"China",NA,"BS","MCS","Mathematical Sciences","","S12","E","Bank of America","Technology Associate","New York","NY","","TartanTrak","41224","41224","Technical/Computer Support ","financial services",1
2012,NA,"United States",NA,"BS","MCS","Mathematical Sciences","","S12","E","Bank of America","Trading Analyst","New York","NY","","Hired from Summer Internship","41132","41132","Sales & Trading","financial services",1
2012,NA,"Japan",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Bank of America","Officer","Tokyo","Japan","","Job Fair","40851","40865","Finance","financial services",3
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Bankers Life and Casualty","Agent","Los Angeles","CA","","","","","","insurance",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Barclays Capital","Asian Equities Sales Analyst","New York","NY","","Networking","41000","41000","Sales & Trading","financial services",1
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Barclays Capital","Investment Banking Analyst","New York","NY","","Hired from Summer Internship","40756","40817","Investment Banking ","financial services",1
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Barclays Capital","Investment Banking Analyst","New York","NY","","Hired from Summer Internship","40756","40787","Investment Banking ","financial services",1
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Barclays Capital","Software Analyst","New York","NY","","","","","Software Development","financial services",NA
2012,NA,"China",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Barclays Capital","Technology Analyst","New York","NY","","","","","Technical/Computer Support ","financial services",NA
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Barclays Capital","Technology Analyst","New York","NY","","","","","Technical/Computer Support ","financial services",NA
2012,NA,"United States",NA,"BS","CFA","Music","Performance (Flute)                                                                           ","S12","G","Bard College, Longy School of Music","Flute Performance","Cambridge","MA","Masters","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","S12","E","Bechtel ","Mechanical Engineer","Houston","TX","","networking","41254","41254","Mechanical","engineering and science",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Belvedere Trading","Trader Trainee","Chicago","IL","","TartanTRAK","40817","40848","Sales & Trading","financial services",1
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Belvedere Trading","Trader Trainee","Chicago","IL","","Networking","40848","40848","Sales & Trading","financial services",1
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Belvedere Trading","Software Engineer","Chicago","IL","","","","","Software Development","financial services",NA
2012,NA,"United States",NA,"BS","Dietrich","Philosophy","Ethics, History, and Public Policy                                                                  ","S12","E","Berkman Center for Internet and Society, Harvard Law School","Research Assistant","Cambridge","MA","Summer employment","","","","Research ","education",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","F11","E","BlackRock","Analyst","New York","NY","","","","","Financial Analysis","financial services",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","F11","E","BlackRock","Analyst","New York","NY","","","","","Financial Analysis","financial services",NA
2012,NA,"Hong Kong",NA,"BS","MCS","Mathematical Sciences","","S12","E","BlackRock","","San Francisco","CA","","","","","","financial services",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","F11","E","Boeing","Structural Design Engineer","Seattle","WA","","job fair","41163","41224","Design/Construction ","engineering and science",1
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Boeing","Systems and Data Analyst","Renton","WA","","","","","Computer Systems Analysis ","engineering and science",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","S12","E","Boeing","Design Engineer","Mesa","AZ","","","","","Design/Construction ","engineering and science",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Drama","Acting","S12","E","Book of Mormon","Actor","New York","NY","","","","","Theatre/Acting","visual/studio/performing arts",NA
2012,NA,"United States",NA,"BS","CFA","Drama","Dramaturgy","S12","E","Book-It Theatre","Dramaturg","Seattle","WA","","","","","Theatre/Acting","visual/studio/performing arts",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Booz Allen Hamilton","Technology Consultant","McLean","VA","","TartanTRAK","40841","40875","Consulting","consulting",2
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","G","Boston College","Accounting",NA,NA,"Master","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Boston Scientific Corp","Mfg Eng","Minneapolis","MN","","SWE job fair","","","Manufacturing/Industrial ","healthcare/biotechnology/pharmaceuticals",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","G","Boston University","BME MS","Boston","MA","","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Materials Science","","S12","G","Boston University","Biomedical Engineering","Boston","MA","MEng","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Mathematical Sciences","","S12","G","Boston University","","Boston","MA","MS","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Bristol Myers Squibb","Assoc. Science/Engineer","Syracuse","NY","","CMU's alumni search engine","","","Engineering","healthcare/biotechnology/pharmaceuticals",NA
2012,NA,"United States",NA,"BS","CFA","Drama","Acting","S12","E","Broadway Play ""newsies""","Lead Actor","New York","NY","","","","","Performance/Acting","visual/studio/performing arts",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","G","Brooklyn Law","Law",NA,NA,"JD","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Physics","","S12","G","Brown University","Geophysics","Providence","RI","PhD","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Biological Sciences","","S12","G","Brown University","Medicine","Providence","RI","MD","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","F11","E","C & D Zodiac","Design Engineer","La Palma","CA","","network","","","Design/Construction ","engineering and science",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","S12","E","C & D Zodiac","Design Engineer","Huntington Beach","CA","","tartantrak","no","","Design/Construction ","engineering and science",NA
2012,NA,"United States",NA,"BS","CIT","Mechanical Engineering","","F11","E","Calgon Carbon","Application Engineer, Hyde Marine Division","Pittsburgh","PA","","social networking","","","Engineering","manufacturing",NA
2012,NA,"United States",NA,"BS","MCS","Physics","","S12","G","California Institute of Technology","Physics","Pasadena","CA","PhD","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Drama","Dramaturgy","S12","E","Cami Patton Casting","Intern","Los Angeles","NY","","","","","","visual/studio/performing arts",NA
2012,NA,"United States",NA,"BS","Dietrich","Economics","","F11","E","Capital One","Business Analyst","McLean","VA","","TartanTRAK","40817","40817","Financial Analysis","financial services",2
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Capital One","Developer - IT Development Program","Richmond","VA","","TartanTRAK","40981","40988","Software Development","financial services",1
2012,NA,"Taiwan",NA,"BS","Dietrich","Statistics","Economics and Statistics                                                                            ","S12","E","Capital One","IT Development Program Associate--Business Systems Analyst","Richmond","VA","","TartanTRAK","40981","","Computer Systems Analysis ","financial services",1
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","S12","E","Capital One","Developer","McLean","VA","","Job Fair","40989","40990","Software Development","financial services/insurance",4
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Carbonite","","Boston","MA","","","","","Software Development","technology",NA
2012,NA,"United States",NA,"BS","Dietrich","Social & Decision Sciences","Policy and Management                                                                               ","S12","G","Cardozo School of Law","Law  School","New York","NY","JD","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Architecture","Architecture                                                                                        ","S12","G","Carnegie Mellon University ","Architecture Engineering and Construction Management","Pittsburgh","PA","MS","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Architecture","Architecture                                                                                        ","F11","G","Carnegie Mellon University ","Literary & Cultural Studies","Pittsburgh","PA","","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CFA","Art","","S12","E","Carnegie Mellon University","Research Assistant","Pittsburgh","PA","","","","","Research","education",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology and Biological Sciences                                                                  ","S12","E","Carnegie Mellon University","Research Assistant","Pittsburgh","PA","","","","","Research","education",NA
2012,NA,"United States",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Carnegie Mellon University","Software Developer in Robotics Academy","Pittsburgh","PA","","","","","Software Development","education",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology and Biological Sciences                                                                  ","S12","E","Carnegie Mellon University","Research Assistant","Pittsburgh","PA","","","","","Research","education",NA
2012,NA,"Canada",NA,"BS","MCS","Chemistry","","S12","E","Carnegie Mellon University","Research Assistant","Pittsburgh","PA","","","","","Research","education",NA
2012,NA,"Korea",NA,"BS","Dietrich","Psychology","Psychology                                                                                          ","S12","E","Carnegie Mellon University","Community Advisor","Pittsburgh","PA","","","","","Social Services","education",NA
2012,NA,"United States",NA,"BS","Dietrich","Social & Decision Sciences","Decision Science                                                                                    ","S12","E","Carnegie Mellon University","Office Assistant ECE","Pittsburgh","PA","","","","","Other","education",NA
2012,NA,"Malaysia",NA,"BS","CIT","Electrical & Computer Engineering","","S12","E","Carnegie Mellon University","ECE Lab Assistant","Pittsburgh","PA","","","","","Other","education",NA
2012,NA,"Korea",NA,"BS","MCS","Biological Sciences","","S12","E","Carnegie Mellon University","Supplemental Instructor","Pittsburgh","PA","","","40920","40920","Teaching","education",NA
