year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2013,Permanent Resident,United States,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,F12,E,IBM,Consultant,New York,NY,NA,Job fair,NA,NA,NA,consulting,5
2013,U.S. Citizen,United States,Female,BS,Dietrich,Social & Decision Sciences,POLMGMT,S13,E,Accenture,"Business Analyst, Management Consulting track",Washington,DC,NA,my experience leading SIFE (now Enactus) for a year,NA,NA,NA,consulting,1
2013,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Oracle,Verilog Design,Atlanta,GA,NA,NA,NA,NA,Software Development,technology,NA
2013,U.S. Citizen,United States,Male,BS,MCS,Biological Sciences,BSCNSC,S13,E,National Institutes of Health,Structural Biology Research Fellow,Bethesda,MD,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,BS,MCS,Biological Sciences,BSC,S13,E,UPMC,Clinical Researcher,Allison Park,PA,NA,NA,NA,NA,NA,NA,NA
2013,NA,United States,NA,BFA,CFA,Design,INDDES,S13,E,IBM,UX Designer,Austin,TX,NA,NA,NA,NA,NA,NA,NA
2013,Permanent Resident,United States,Female,BS,MCS,Biological Sciences,BSC,S13,E,IBM,Consultant,Seoul,South Korea,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,Korea,Female,BS,Dietrich,Psychology,PSY,S13,G,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S13,E,IBM,Consulting by Degrees Consultant,New York,NY,NA,"TartanTRAK, Job Fair",NA,NA,Consulting,technology,5
2013,Non-US Citizen,Turkey,Female,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,MCS,Physics,PHY,S13,E,National Institutes of Health,Post-Bac Fellow,Bethesda,MD,NA,Networking,2/28/13,13-Feb,Research,government,NA
2013,U.S. Citizen,United States,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,National Institutes of Health,Postdoctoral Trainee,Washington,DC,NA,Networking,NA,NA,NA,NA,NA
2013,Permanent Resident,United States,Female,BS,Dietrich,Statistics,ECOSTA,F12,E,PricewaterhouseCoopers,Advisory Associate,New York,NY,NA,TartanTRAK,8-Jul,NA,Consulting: Management/Strategy,consulting,NA
2013,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S13,E,PNC,Undisclosed,Pittsburgh,PA,NA,NA,NA,NA,NA,financial services/insurance,NA
2013,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,F12,E,PNC,Corporate Banking Analyst,Pittsburgh,PA,NA,Networking,8-Sep,8-Oct,Finance: Corporate,financial services/insurance,4
2013,U.S. Citizen,United States,Female,BS,Dietrich,Psychology,PSY,S13,G,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
